fips,place,state,hs_total,hs_occupied,hs_vacant
3700160,Aberdeen,NC,3081,2832,249
3700440,Advance,NC,514,461,53
3700500,Ahoskie,NC,2309,2062,247
3700640,Alamance,NC,401,365,36
3700680,Albemarle,NC,7499,6512,987
3701000,Alliance,NC,320,290,30
3701140,Altamahaw,NC,177,146,31
3701380,Andrews,NC,971,780,191
3701400,Angier,NC,1829,1672,157
3701420,Ansonville,NC,307,250,57
3701520,Apex,NC,13922,13225,697
3701560,Aquadale,NC,184,166,18
3701640,Arapahoe,NC,252,217,35
3701720,Archdale,NC,4916,4556,360
3701760,Archer Lodge,NC,1536,1485,51
3702080,Asheboro,NC,11158,9880,1278
3702140,Asheville,NC,41626,37380,4246
3702240,Ashley Heights,NC,154,142,12
3702320,Askewville,NC,108,100,8
3702460,Atkinson,NC,142,119,23
3702480,Atlantic,NC,434,262,172
3702500,Atlantic Beach,NC,4935,840,4095
3702580,Aulander,NC,450,376,74
3702620,Aurora,NC,315,241,74
3702700,Autryville,NC,118,91,27
3702760,Avery Creek,NC,824,747,77
3702780,Avon,NC,1649,360,1289
3702840,Ayden,NC,2373,2129,244
3702960,Badin,NC,602,483,119
3703020,Bailey,NC,265,227,38
3703100,Bakersville,NC,269,228,41
3703150,Bald Head Island,NC,1111,83,1028
3703220,Balfour,NC,571,487,84
3703500,Banner Elk,NC,607,291,316
3703640,Barker Heights,NC,533,466,67
3703665,Barker Ten Mile,NC,394,377,17
3703840,Bath,NC,176,125,51
3703960,Bayboro,NC,371,303,68
3704015,Bayshore,NC,1413,1338,75
3704040,Bayview,NC,305,157,148
3704180,Bear Grass,NC,40,37,3
3704260,Beaufort,NC,2745,1991,754
3704510,Beech Mountain,NC,2287,154,2133
3704640,Belhaven,NC,940,760,180
3704680,Bell Arthur,NC,207,182,25
3704840,Belmont,NC,4221,3815,406
3704950,Belville,NC,787,745,42
3704955,Belvoir,NC,127,115,12
3704960,Belwood,NC,423,379,44
3705020,Bennett,NC,142,121,21
3705040,Benson,NC,1554,1301,253
3705049,Bent Creek,NC,590,543,47
3705135,Bermuda Run,NC,1021,860,161
3705220,Bessemer City,NC,2348,2067,281
3705340,Bethania,NC,166,155,11
3705460,Bethel,NC,747,648,99
3705530,Bethlehem,NC,1917,1737,180
3705660,Beulaville,NC,663,605,58
3705880,Biltmore Forest,NC,689,562,127
3706000,Biscoe,NC,607,539,68
3706080,Black Creek,NC,333,302,31
3706140,Black Mountain,NC,4141,3573,568
3706240,Bladenboro,NC,897,798,99
3706500,Blowing Rock,NC,2060,622,1438
3706510,Blue Clay Farms,NC,16,15,1
3706660,Boardman,NC,87,71,16
3706740,Bogue,NC,296,263,33
3706760,Boiling Spring Lakes,NC,2418,2125,293
3706800,Boiling Springs,NC,1471,1366,105
3706820,Bolivia,NC,77,60,17
3706860,Bolton,NC,314,266,48
3706980,Bonnetsville,NC,190,171,19
3707080,Boone,NC,6253,5755,498
3707140,Boonville,NC,594,525,69
3707220,Bostic,NC,187,168,19
3707400,Bowmore,NC,51,38,13
3707720,Brevard,NC,3867,3347,520
3707765,Brices Creek,NC,1196,1108,88
3707860,Bridgeton,NC,233,202,31
3708040,Broad Creek,NC,1051,898,153
3708080,Broadway,NC,538,501,37
3708110,Brogden,NC,1148,1009,139
3708140,Brookford,NC,214,182,32
3708420,Brunswick,NC,196,167,29
3708480,Bryson City,NC,833,616,217
3708760,Buies Creek,NC,699,577,122
3708860,Bunn,NC,207,157,50
3708880,Bunnlevel,NC,244,219,25
3708960,Burgaw,NC,1473,1287,186
3709060,Burlington,NC,23414,20632,2782
3709140,Burnsville,NC,879,736,143
3709360,Butner,NC,2999,2767,232
3709380,Butters,NC,129,121,8
3709400,Buxton,NC,830,512,318
3709530,Cajah's Mountain,NC,1217,1141,76
3709540,Calabash,NC,1445,856,589
3709760,Calypso,NC,240,205,35
3709780,Camden,NC,294,264,30
3709800,Cameron,NC,148,116,32
3710120,Candor,NC,336,296,40
3710240,Canton,NC,2068,1791,277
3710260,Cape Carteret,NC,1027,803,224
3710460,Caroleen,NC,313,256,57
3710500,Carolina Beach,NC,5626,2687,2939
3710550,Carolina Shores,NC,1981,1555,426
3710620,Carrboro,NC,9258,8625,633
3710680,Carthage,NC,1070,934,136
3710740,Cary,NC,55303,51791,3512
3710760,Casar,NC,152,125,27
3710800,Cashiers,NC,186,77,109
3710860,Castalia,NC,125,105,20
3710880,Castle Hayne,NC,564,503,61
3710960,Caswell Beach,NC,685,209,476
3710980,Catawba,NC,297,251,46
3711340,Cedar Point,NC,955,557,398
3711352,Cedar Rock,NC,137,133,4
3711560,Centerville,NC,52,36,16
3711560,Centerville,NC,52,36,16
3711620,Cerro Gordo,NC,98,78,20
3711640,Chadbourn,NC,951,809,142
3711800,Chapel Hill,NC,22254,20564,1690
3712000,Charlotte,NC,319918,289860,30058
3712140,Cherokee,NC,1028,839,189
3712340,Cherryville,NC,2621,2324,297
3712460,Chimney Rock Village,NC,213,58,155
3712480,China Grove,NC,1564,1392,172
3712580,Chocowinity,NC,393,352,41
3712720,Claremont,NC,646,585,61
3712780,Clarkton,NC,377,320,57
3712860,Clayton,NC,6648,6050,598
3712960,Clemmons,NC,8046,7307,739
3713000,Cleveland,NC,377,328,49
3713100,Cliffside,NC,269,233,36
3713240,Clinton,NC,3711,3392,319
3713280,Clyde,NC,619,546,73
3713360,Coats,NC,935,836,99
3713460,Cofield,NC,216,176,40
3713500,Coinjock,NC,179,140,39
3713560,Colerain,NC,120,89,31
3713940,Columbia,NC,433,369,64
3713980,Columbus,NC,508,446,62
3714060,Como,NC,47,41,6
