sumlev,county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
050,01111,Randolph,AL,22913,17532,4607,84,55,5,369,261,649,22264,17280,4604,84,54,5,8,229
050,01113,Russell,AL,52947,28449,22135,219,236,113,691,1104,1946,51001,27591,21926,189,223,112,55,905
050,01115,St Clair,AL,83593,73741,7150,281,518,46,734,1123,1716,81877,72947,7098,252,512,41,64,963
050,01117,Shelby,AL,195085,161943,20732,553,3726,74,5373,2684,11567,183518,156371,20606,458,3699,62,250,2072
050,01119,Sumter,AL,13763,3326,10316,11,33,4,26,47,86,13677,3304,10283,11,33,1,0,45
050,01121,Talladega,AL,82291,53739,26055,264,339,6,787,1101,1671,80620,53079,25953,230,329,6,60,963
050,01123,Tallapoosa,AL,41616,29087,11083,121,197,8,713,407,1042,40574,28838,11050,119,197,2,22,346
050,01125,Tuscaloosa,AL,194656,129004,57611,526,2306,117,2993,2099,5949,188707,126611,57401,455,2293,76,136,1735
050,01127,Walker,AL,67023,61146,3928,251,195,36,639,828,1307,65716,60587,3885,233,190,26,36,759
050,01129,Washington,AL,17581,11508,4380,1411,20,12,43,207,151,17430,11455,4360,1394,18,9,8,186
050,01131,Wilcox,AL,11670,3126,8465,14,4,1,9,51,72,11598,3110,8420,14,4,1,2,47
050,01133,Winston,AL,24484,23409,115,163,60,28,356,353,639,23845,23237,115,139,59,8,4,283
