sumlev,logrecno,place_id_2010,name,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
160,0385566,3718320,Dunn,9263,4653,3940,90,77,8,293,202,491,8772,4516,3909,86,76,4,13,168
160,0385571,3719000,Durham,228330,96932,93517,1161,11574,166,18915,6065,32459,195871,86519,92285,611,11478,129,616,4233
160,0385587,3719140,Earl,260,237,21,0,1,0,1,0,1,259,237,21,0,1,0,0,0
160,0385592,3719300,East Arcadia,487,21,439,10,0,0,0,17,9,478,17,435,10,0,0,0,16
160,0385597,3719320,East Bend,612,571,8,0,0,1,24,8,30,582,566,8,0,0,1,0,7
160,0385602,3719420,East Flat Rock,4995,4026,206,22,33,20,527,161,1121,3874,3509,194,19,29,20,6,97
160,0385608,3719620,East Laurinburg,300,180,61,45,0,0,0,14,4,296,177,61,45,0,0,0,13
160,0385613,3719740,Eastover,3628,2718,697,69,31,5,44,64,108,3520,2671,691,64,31,5,3,55
160,0385618,3719800,East Rockingham,3736,2620,626,132,22,7,233,96,395,3341,2515,612,117,22,1,2,72
160,0385623,3719860,East Spencer,1534,180,1281,9,0,0,21,43,37,1497,174,1278,3,0,0,2,40
160,0385628,3720080,Eden,15527,11058,3701,67,105,26,273,297,753,14774,10661,3662,63,105,21,16,246
160,0385633,3720120,Edenton,5004,2043,2742,5,26,2,119,67,171,4833,2011,2739,5,26,2,2,48
160,0385638,3720280,Edneyville,2367,1974,82,19,8,0,232,52,442,1925,1786,75,10,8,0,0,46
160,0385643,3720420,Efland,734,458,234,0,6,7,25,4,54,680,428,234,0,6,7,1,4
160,0385648,3720580,Elizabeth City,18683,7389,10090,67,229,10,469,429,943,17740,7026,10027,59,227,6,36,359
160,0385655,3720600,Elizabethtown,3583,1564,1828,17,25,0,91,58,148,3435,1528,1817,16,25,0,4,45
160,0385660,3720620,Elkin,4001,3121,255,9,31,1,523,61,713,3288,2992,216,1,31,1,10,37
160,0385668,3720700,Elk Park,452,419,1,6,0,0,16,10,40,412,405,1,3,0,0,0,3
160,0385673,3720780,Ellenboro,873,692,149,3,0,0,13,16,18,855,691,146,1,0,0,4,13
160,0385678,3720840,Ellerbe,1054,511,412,7,5,0,89,30,117,937,491,412,7,0,0,0,27
160,0385683,3720980,Elm City,1298,522,728,11,1,0,20,16,52,1246,500,725,11,1,0,1,8
160,0385688,3721095,Elon,9419,8166,803,14,184,3,101,148,246,9173,8023,799,12,182,3,16,138
160,0385693,3721120,Elrod,417,51,59,285,0,0,4,18,11,406,49,59,284,0,0,0,14
160,0385698,3721130,Elroy,3869,2479,847,19,65,3,354,102,583,3286,2296,841,8,65,3,19,54
160,0385706,3721160,Emerald Isle,3655,3536,22,8,28,6,19,36,72,3583,3483,21,7,28,6,5,33
160,0385711,3721360,Enfield,2532,298,2215,4,5,0,2,8,15,2517,295,2203,4,5,0,2,8
160,0385716,3721380,Engelhard,445,240,184,0,1,0,9,11,43,402,208,184,0,1,0,0,9
160,0385721,3721500,Enochville,2925,2739,38,2,23,0,101,22,173,2752,2672,38,2,21,0,0,19
160,0385726,3721740,Erwin,4405,3260,764,39,13,1,215,113,324,4081,3194,756,31,13,1,3,83
160,0385731,3721880,Etowah,6944,6486,75,11,65,1,184,122,373,6571,6302,75,11,65,1,7,110
160,0385737,3721960,Eureka,197,144,50,1,0,0,0,2,7,190,137,50,1,0,0,0,2
160,0385742,3722040,Everetts,164,111,44,0,2,0,2,5,4,160,109,44,0,2,0,0,5
160,0385747,3722080,Evergreen,420,216,199,0,0,0,3,2,3,417,215,199,0,0,0,2,1
160,0385752,3722240,Fair Bluff,951,319,605,5,0,0,15,7,20,931,314,605,5,0,0,0,7
160,0385757,3722280,Fairfield,258,146,112,0,0,0,0,0,0,258,146,112,0,0,0,0,0
160,0385762,3722305,Fairfield Harbour,2952,2791,103,4,15,1,15,23,52,2900,2757,102,3,14,1,3,20
160,0385767,3722360,Fairmont,2663,699,1493,358,5,0,36,72,51,2612,692,1492,355,5,0,2,66
160,0385772,3722380,Fairplains,2120,1613,275,5,4,0,163,60,289,1831,1512,270,0,4,0,10,35
160,0385777,3722440,Fairview,2678,2532,32,7,12,0,33,62,73,2605,2495,32,7,12,0,4,55
160,0385782,3722500,Fairview,3324,3239,31,7,11,0,24,12,45,3279,3221,31,4,11,0,1,11
160,0385787,3722560,Faison,961,504,124,2,1,0,299,31,370,591,458,123,2,1,0,0,7
160,0385795,3722600,Faith,807,776,13,0,0,0,14,4,22,785,768,13,0,0,0,0,4
160,0385800,3722620,Falcon,258,190,37,2,0,0,17,12,36,222,179,32,2,0,0,1,8
160,0385808,3722640,Falkland,96,67,18,0,2,0,5,4,10,86,62,18,0,2,0,0,4
160,0385813,3722720,Fallston,607,563,31,0,0,0,4,9,4,603,563,31,0,0,0,0,9
160,0385818,3722820,Farmville,4654,2238,2313,7,20,0,37,39,116,4538,2175,2299,7,20,0,5,32
160,0385824,3722920,Fayetteville,200564,91653,84040,2165,5291,896,6622,9897,20256,180308,82797,81768,1907,5147,823,466,7400
160,0385836,3722982,Fearrington Village,2339,2287,20,0,14,0,6,12,25,2314,2268,20,0,14,0,0,12
160,0385841,3723520,Five Points,689,393,209,21,7,0,20,39,52,637,369,206,21,7,0,3,31
160,0385846,3723600,Flat Rock,3114,3059,13,5,11,0,2,24,36,3078,3027,13,4,11,0,1,22
160,0385851,3723640,Flat Rock,1556,1335,101,5,8,0,86,21,127,1429,1303,100,5,8,0,0,13
160,0385856,3723760,Fletcher,7187,6345,296,35,220,7,143,141,346,6841,6165,293,27,218,7,8,123
160,0385861,3724080,Forest City,7476,5014,1792,17,64,0,369,220,675,6801,4752,1776,14,64,0,15,180
160,0385867,3724170,Forest Hills,365,336,15,2,3,0,5,4,18,347,323,15,2,3,0,0,4
160,0385872,3724198,Forest Oaks,3890,3170,591,12,29,0,34,54,77,3813,3143,584,11,29,0,9,37
160,0385877,3724380,Foscoe,1370,1327,4,3,4,0,14,18,81,1289,1260,4,3,4,0,2,16
160,0385882,3724440,Fountain,427,199,213,0,0,0,3,12,6,421,199,212,0,0,0,0,10
