sumlev,county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
050,28113,Pike,MS,40404,18745,20813,116,232,9,183,306,489,39915,18564,20740,111,229,2,8,261
050,28115,Pontotoc,MS,29957,23984,4131,67,56,12,1300,407,1849,28108,23531,4096,47,56,7,29,342
050,28117,Prentiss,MS,25276,21312,3488,44,33,3,135,261,307,24969,21172,3481,29,33,2,18,234
050,28119,Quitman,MS,8223,2381,5724,19,11,1,22,65,55,8168,2369,5709,18,11,1,1,59
050,28121,Rankin,MS,141617,109523,26634,260,1582,92,2011,1515,3795,137822,108086,26519,227,1574,91,91,1234
050,28123,Scott,MS,28264,15051,10585,87,51,61,2031,398,3013,25251,14353,10502,66,50,30,14,236
050,28125,Sharkey,MS,4916,1370,3490,3,11,0,20,22,39,4877,1366,3475,3,11,0,1,21
050,28127,Simpson,MS,27503,17260,9666,49,78,35,191,224,387,27116,17131,9624,35,78,34,16,198
050,28129,Smith,MS,16491,12503,3776,19,13,2,87,91,198,16293,12421,3758,18,13,2,2,79
050,28131,Stone,MS,17786,13982,3404,90,58,5,58,189,239,17547,13820,3395,86,57,5,13,171
050,28133,Sunflower,MS,29450,7493,21479,56,84,10,190,138,404,29046,7410,21362,47,82,10,8,127
050,28135,Tallahatchie,MS,15378,5988,8679,42,117,12,363,177,866,14512,5580,8634,32,116,11,18,121
050,28137,Tate,MS,28886,19313,8755,62,65,7,339,345,639,28247,19091,8723,62,65,2,18,286
050,28139,Tippah,MS,22232,17779,3544,54,34,3,501,317,985,21247,17404,3509,34,34,1,14,251
050,28141,Tishomingo,MS,19593,18509,519,37,21,1,342,164,553,19040,18326,516,32,21,1,1,143
050,28143,Tunica,MS,10778,2553,7918,14,61,9,124,99,245,10533,2486,7894,14,60,5,2,72
050,28145,Union,MS,27134,21973,3935,46,46,11,792,331,1210,25924,21649,3911,29,46,5,16,268
050,28147,Walthall,MS,15443,8250,6873,55,24,3,65,173,238,15205,8145,6837,49,24,3,11,136
050,28149,Warren,MS,48773,24548,22920,129,413,10,329,424,896,47877,24143,22836,106,412,10,15,355
050,28151,Washington,MS,51137,13784,36468,69,291,9,215,301,529,50608,13654,36348,56,291,6,13,240
050,28153,Wayne,MS,20747,12300,8071,39,34,7,135,161,246,20501,12243,8035,38,34,2,3,146
050,28155,Webster,MS,10253,8065,2040,21,11,0,38,78,104,10149,8007,2036,15,11,0,6,74
050,28157,Wilkinson,MS,9878,2834,6992,12,2,0,6,32,41,9837,2820,6969,12,1,0,4,31
050,28159,Winston,MS,19198,9972,8753,219,37,4,47,166,184,19014,9891,8729,215,37,3,4,135
050,28161,Yalobusha,MS,12678,7667,4805,32,20,1,39,114,151,12527,7606,4772,30,20,1,4,94
050,28163,Yazoo,MS,28065,11212,16013,82,125,4,198,431,1301,26764,10477,15893,59,124,4,5,202
