place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
1309544,Bowdon,GA,2040,1470,476,7,8,0,31,48,66,1974,1431,475,7,8,0,9,44
1309656,Bowersville,GA,465,339,95,1,0,0,13,17,22,443,334,93,1,0,0,1,14
1309712,Bowman,GA,862,615,230,0,2,0,10,5,29,833,604,221,0,2,0,1,5
1309852,Boykin,GA,143,110,30,0,0,0,0,3,3,140,107,30,0,0,0,0,3
1310076,Braselton,GA,7511,6228,662,27,291,0,153,150,619,6892,5818,649,13,280,0,14,118
1310104,Braswell,GA,379,345,26,0,0,0,2,6,10,369,337,26,0,0,0,2,4
1310132,Bremen,GA,6227,5550,486,12,55,0,27,97,109,6118,5477,478,11,55,0,2,95
1310608,Brinson,GA,215,156,56,0,0,0,2,1,10,205,149,56,0,0,0,0,0
1310860,Bronwood,GA,225,64,155,4,0,0,0,2,8,217,62,155,0,0,0,0,0
1311000,Brooklet,GA,1395,1187,160,6,4,0,5,33,23,1372,1176,160,6,4,0,0,26
1311056,Brooks,GA,524,504,3,1,3,0,9,4,20,504,493,3,1,3,0,0,4
1311504,Broxton,GA,1189,609,506,2,6,0,48,18,113,1076,558,499,2,6,0,0,11
1311560,Brunswick,GA,15383,4823,9111,53,87,12,990,307,1733,13650,4233,9053,19,77,10,31,227
1311616,Buchanan,GA,1104,972,88,2,4,0,18,20,35,1069,960,88,2,4,0,0,15
1311672,Buckhead,GA,171,133,37,0,0,0,0,1,2,169,132,37,0,0,0,0,0
1311728,Buena Vista,GA,2173,417,1424,14,8,0,267,43,368,1805,346,1415,12,8,0,0,24
1311784,Buford,GA,12225,8049,1684,35,351,4,1798,304,3122,9103,6904,1637,15,347,2,18,180
1312120,Butler,GA,1972,923,1014,0,15,0,5,15,40,1932,900,1004,0,15,0,0,13
1312232,Byromville,GA,546,242,269,0,1,0,33,1,76,470,199,269,0,1,0,0,1
1312260,Byron,GA,4512,2951,1310,8,80,2,89,72,174,4338,2876,1300,6,80,2,13,61
1312344,Cadwell,GA,528,370,154,0,0,0,3,1,11,517,363,153,0,0,0,0,1
1312400,Cairo,GA,9607,3894,4627,56,64,14,753,199,1384,8223,3416,4601,27,52,10,19,98
1312456,Calhoun,GA,15650,11472,1063,82,273,39,2270,451,3910,11740,10127,1035,45,261,24,20,228
1312484,Calvary,GA,161,127,14,1,0,0,17,2,21,140,123,14,1,0,0,0,2
1312512,Camak,GA,138,67,69,0,0,0,0,2,2,136,65,69,0,0,0,0,2
1312624,Camilla,GA,5360,1336,3707,14,47,0,212,44,249,5111,1307,3698,11,46,0,7,42
1312834,Candler-McAfee,GA,23025,1463,21030,63,47,7,119,296,303,22722,1399,20926,59,47,6,26,259
1312932,Canon,GA,804,727,23,6,8,0,19,21,53,751,705,19,0,8,0,0,19
1312960,Canoochee,GA,71,54,16,0,1,0,0,0,0,71,54,16,0,1,0,0,0
1312988,Canton,GA,22958,17354,2045,182,309,55,2353,660,5156,17802,14913,1991,74,298,21,70,435
1313184,Carl,GA,255,217,18,1,11,0,2,6,10,245,211,18,1,11,0,0,4
1313212,Carlton,GA,260,202,53,2,2,0,0,1,3,257,201,53,2,0,0,0,1
1313352,Carnesville,GA,577,475,85,0,4,0,10,3,12,565,473,85,0,4,0,0,3
1313492,Carrollton,GA,24388,14249,7773,101,346,9,1233,677,2633,21755,13143,7668,57,337,6,63,481
1313688,Cartersville,GA,19731,13979,3648,77,206,43,1244,534,2505,17226,13003,3592,45,196,42,19,329
1314108,Cave Spring,GA,1200,1016,155,0,7,2,8,12,24,1176,1004,151,0,7,2,1,11
1314192,Cecil,GA,286,143,124,0,6,0,8,5,13,273,141,124,0,6,0,0,2
1314472,Cedar Springs,GA,74,67,6,1,0,0,0,0,1,73,66,6,1,0,0,0,0
1314500,Cedartown,GA,9750,5512,1829,44,98,23,2024,220,3026,6724,4629,1817,25,98,10,15,130
1314920,Centerville,GA,7148,5063,1419,38,293,2,138,195,422,6726,4819,1407,38,292,1,13,156
1315026,Centralhatchee,GA,408,349,39,7,1,0,0,12,0,408,349,39,7,1,0,0,12
1315172,Chamblee,GA,9892,4465,697,206,795,3,3316,410,5782,4110,2587,617,15,781,3,20,87
1315508,Chatsworth,GA,4299,3638,41,22,25,5,475,93,825,3474,3357,37,8,24,0,0,48
1315552,Chattahoochee Hills,GA,2378,1632,665,5,7,0,45,24,132,2246,1562,652,5,3,0,2,22
1315585,Chattanooga Valley,GA,3846,3710,36,18,12,1,25,44,63,3783,3678,36,18,11,1,0,39
1315648,Chauncey,GA,342,222,116,0,0,0,0,4,12,330,211,116,0,0,0,0,3
1315844,Cherry Log,GA,119,118,0,0,0,0,0,1,0,119,118,0,0,0,0,0,1
1315900,Chester,GA,1596,652,923,1,3,1,8,8,58,1538,606,919,1,3,1,0,8
1315984,Chickamauga,GA,3101,2974,22,4,18,0,16,67,35,3066,2966,22,3,18,0,1,56
1316460,Clarkesville,GA,1733,1565,84,4,19,1,32,28,96,1637,1510,84,3,19,1,0,20
1316544,Clarkston,GA,7554,1027,4413,12,1632,3,157,310,211,7343,990,4373,11,1617,3,54,295
1316600,Claxton,GA,2746,1319,1153,1,27,0,209,37,263,2483,1275,1144,1,27,0,4,32
1316656,Clayton,GA,2047,1743,31,11,14,0,182,66,425,1622,1525,28,11,14,0,6,38
1316796,Clermont,GA,875,845,6,2,0,4,10,8,18,857,837,6,2,0,4,0,8
1316824,Cleveland,GA,3410,2993,236,21,35,0,45,80,149,3261,2897,235,18,35,0,4,72
1316908,Climax,GA,280,175,99,1,1,0,4,0,4,276,175,99,1,1,0,0,0
1317272,Cobbtown,GA,351,312,20,4,0,0,9,6,14,337,308,20,4,0,0,0,5
1317328,Cochran,GA,5150,2480,2498,3,83,2,27,57,94,5056,2438,2479,3,82,2,0,52
1317496,Cohutta,GA,661,633,15,2,4,0,4,3,13,648,628,15,2,0,0,0,3
1317552,Colbert,GA,592,544,40,1,1,0,2,4,12,580,534,40,1,1,0,0,4
1317580,Coleman,GA,127,41,83,0,0,0,3,0,3,124,41,83,0,0,0,0,0
1317776,College Park,GA,13942,1814,11073,56,126,5,584,284,963,12979,1612,10950,36,121,4,30,226
1317832,Collins,GA,584,340,222,0,0,0,16,6,19,565,338,222,0,0,0,0,5
1318000,Colquitt,GA,1992,1016,928,3,20,0,5,20,39,1953,1003,914,3,20,0,0,13
1319000,Columbus,GA,189885,87870,86403,731,4128,431,4554,5768,12110,177775,82890,85119,599,4061,378,432,4296
1319084,Comer,GA,1126,884,193,7,24,0,6,12,15,1111,874,193,4,24,0,5,11
1319112,Commerce,GA,6544,5174,881,29,71,2,253,134,503,6041,4977,875,12,70,2,0,105
1319168,Concord,GA,375,305,59,1,0,0,3,7,5,370,304,58,1,0,0,0,7
1319280,Conley,GA,6228,1228,3590,24,203,2,1052,129,1481,4747,888,3556,7,200,2,11,83
1319336,Conyers,GA,15195,4539,8598,46,213,17,1432,350,2475,12720,3699,8474,32,210,16,55,234
1319392,Coolidge,GA,525,249,227,2,8,0,20,19,25,500,246,225,2,8,0,0,19
1319616,Cordele,GA,11147,3228,7419,13,140,1,220,126,369,10778,3113,7387,11,140,1,7,119
1319728,Cornelia,GA,4160,2817,236,36,174,27,685,185,1446,2714,2171,233,8,172,22,10,98
1319830,Country Club Estates,GA,8545,3857,3983,23,143,50,308,181,650,7895,3590,3934,19,143,45,20,144
1320064,Covington,GA,13118,6140,6222,27,87,10,396,236,723,12395,5919,6140,26,87,10,23,190
