geocode,county,state,diversity_index2010,diversity_index2020,di_change,eth_white_nh_pct2010,eth_black_nh_pct2010,eth_hispanic_pct2010,eth_am_indian_nh_pct2010,eth_asian_nh_pct2010,eth_pac_isl_nh_pct2010,eth_other_nh_pct2010,eth_mult_nh_pct2010,eth_white_nh_pct2020,eth_black_nh_pct2020,eth_hispanic_pct2020,eth_am_indian_nh_pct2020,eth_asian_nh_pct2020,eth_pac_isl_nh_pct2020,eth_other_nh_pct2020,eth_mult_nh_pct2020
37159051400,Rowan,NC,0.333480341998178,0.4899571560162137,0.1564768140180357,0.8073776374336156,0.07305870532510406,0.09530644466771925,0.0027271422419979903,0.008324960528204393,0,4.3060140663126167e-4,0.012774508396727429,0.6869312936832388,0.08914677568244758,0.16879862851114336,0.0034287221416325992,0.007648687854411183,6.593696426216537e-4,0.0027693524990109455,0.04061716998549387
37159051501,Rowan,NC,0.5605163635005748,0.6460780912398635,0.08556172773928872,0.6078466146484424,0.13831696687437026,0.22480354177086484,0.0017951160349891392,0.01001335415605512,0,0.0020515611828447306,0.015172845332433413,0.5005867167331612,0.16967847923022764,0.2694203238676367,0.0030509270124383947,0.011499647969960104,0,0.0032856137057028865,0.04247829148087304
37159051502,Rowan,NC,0.1621513164764693,0.2906460183672518,0.1284947018907825,0.9131773132739907,0.01218075663566696,0.06101170018669907,6.308796465311761e-4,0.006807969351475515,0,0,0.0061913809056366505,0.8358681875792142,0.023447401774397972,0.09664131812420786,0.0028517110266159697,0.010456273764258554,0,0.005386565272496832,0.025348542458808618
37159051600,Rowan,NC,0.41803541321276827,0.5074195358751779,0.08938412266240958,0.7421141722759437,0.1541775348503356,0.08570551799801547,0.003692876897580559,0.004616096121975699,1.5386987073252327e-4,6.154794829300931e-4,0.00892445250248635,0.6741854636591479,0.14786967418546365,0.12071846282372597,0.00403787245892509,0.010025062656641603,0,0.004734057365636313,0.03842940685045948
37159051700,Rowan,NC,0.2819887605470083,0.35786294605603985,0.07587418550903158,0.841903300076746,0.05423381939114863,0.07751343054489639,0.0030698388334612432,0.012918905090816066,0,0.0012790995139421847,0.00908160654898951,0.791921664626683,0.05226438188494492,0.10452876376988984,0.0035495716034271724,0.009791921664626682,7.343941248470012e-4,0.002203182374541004,0.035006119951040394
37159051801,Rowan,NC,0.14019893196443234,0.24579356777618544,0.1055946358117531,0.9262938983766635,0.021808736542331137,0.03412160505963003,0.0036002408759122856,0.003390291626517254,0,0,0.01078522751894568,0.864977059209089,0.017260214114048503,0.06423421455101595,0.004151190736290146,0.00589906051999126,4.3696744592527855e-4,0.003932707013327507,0.03910858641031243
37159051802,Rowan,NC,0.16389994329153224,0.28121768356010923,0.117317740268577,0.9126354139971283,0.02116235699556237,0.0516773913277214,0.001961920554520502,0.004715234906985392,0,6.539735181735005e-4,0.007193708699908506,0.8423857347817175,0.02295552367288379,0.08382865341258455,0.0020496003279360524,0.0036892805902848944,0.0018446402951424472,0.003484320557491289,0.039762246361959415
37159051901,Rowan,NC,0.29070188702155797,0.3323767111208994,0.04167482409934142,0.8352710411775794,0.06877096144437857,0.08262475531766196,0.0019500264403631948,0.001702776489130757,4.306661187446038e-4,0.0019379975343507172,0.0073117754777906165,0.8092984982513886,0.05821847356511006,0.09072207364739765,0.0018514708907632176,0.003908660769389015,2.057189878625797e-4,0.004114379757251594,0.03168072413083728
37159051903,Rowan,NC,0.40418989815181994,0.4378616614891969,0.03367176333737698,0.7542108546475359,0.14504054897067997,0.07548346849656894,0.004678727386150967,0.006238303181534623,0,9.357454772301934e-4,0.013412351840299439,0.7327433628318584,0.11976401179941003,0.09380530973451327,0.002654867256637168,0.002359882005899705,8.849557522123894e-4,0.002359882005899705,0.04542772861356932
37159051904,Rowan,NC,0.4166534488732885,0.46101075475196573,0.044357305878677256,0.7405927592633054,0.17727972446061954,0.055521936599560485,0.0012562452267012982,0.00847601420979474,0,0,0.01687332024001854,0.7140629872154661,0.1412535079513564,0.08169628936700966,0.004053632678515747,0.00966635484876832,0,6.236357966947302e-4,0.04864359214218896
37159052000,Rowan,NC,0.5986873751688383,0.6266616107101479,0.027974235541309622,0.4593711719069008,0.4295630869742752,0.07186606778276848,0.004899959167006942,0.00898325847284606,0,0.0032666394446712946,0.022049816251531237,0.4728892331525949,0.3694810224632068,0.11037955073586367,0.0019364833462432224,0.008520526723470178,0,0.006971340046475601,0.029821843532145623
37161960101,Rutherford,NC,0.06132050090060437,0.12889117083926194,0.06757066993865757,0.9687293095385364,0.005322707150282907,0.011975909971910918,0.0026613535751414535,0.005322707150282907,0,0,0.005988012613845429,0.9326988443235894,0.008157715839564922,0.020394289598912305,0.005438477226376614,0.005438477226376614,0,0.002719238613188307,0.02515295717199184
37161960102,Rutherford,NC,0.11603401275799308,0.14281566716488203,0.026781654406888955,0.9394649828424187,0.014939662146739901,0.031939377187629486,9.337288841712438e-4,0.0010272560863542305,0,4.668644420856219e-4,0.011228128410600672,0.9248868778280543,0.019004524886877826,0.026244343891402715,0.0022624434389140274,0,0,9.049773755656109e-4,0.02669683257918552
37161960103,Rutherford,NC,0.09533443660894048,0.16841882385082974,0.07308438724188926,0.9506266616027346,0.0284846183061147,0.0094948727687049,3.7979491074819596e-4,0.0030383592859855677,0,0,0.007975693125712115,0.9107438016528926,0.025206611570247933,0.017768595041322315,4.1322314049586776e-4,0.005785123966942148,0,0.0070247933884297524,0.03305785123966942
37161960201,Rutherford,NC,0.17685497060905886,0.20518745270154182,0.028332482092482958,0.9049779668740809,0.06160822114190029,0.014310487598933417,0.004298247986644206,0.003104290212576371,0,2.38791554813567e-4,0.011461994631051216,0.88934034416826,0.04995219885277247,0.024378585086042064,0.0021510516252390057,0.004541108986615679,2.390057361376673e-4,0.0016730401529636712,0.027724665391969407
37161960202,Rutherford,NC,0.18049119942530634,0.23055950345415777,0.05006830402885143,0.9012908124525436,0.08428246013667426,0.00683371298405467,0,0.002277904328018223,0,0,0.005315110098709187,0.874136607828089,0.060629316960859554,0.026093630084420567,0.0015349194167306216,0.0015349194167306216,7.674597083653108e-4,0.004604758250191865,0.03069838833461243
