fips,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37069,Franklin,NC,60619,40003,16212,329,288,12,2666,1109,4776,55843,38478,15995,253,272,5,67,773
37071,Gaston,NC,206086,161166,31431,850,2478,63,6315,3783,12201,193885,156310,31002,707,2462,44,273,3087
37073,Gates,NC,12197,7768,4044,65,17,10,73,220,173,12024,7684,4040,62,17,6,16,199
37075,Graham,NC,8861,8004,17,566,29,4,91,150,194,8667,7942,17,538,29,2,0,139
37077,Granville,NC,59916,36205,19652,338,326,34,2323,1038,4482,55434,34550,19454,250,321,22,56,781
37079,Greene,NC,21362,10850,7964,154,72,6,2002,314,3054,18308,10038,7902,98,67,2,11,190
37081,Guilford,NC,488406,278525,158899,2594,19176,235,17675,11302,34826,453580,265228,156982,2071,19059,193,1123,8924
37083,Halifax,NC,54691,21890,29109,2071,362,19,581,659,1152,53539,21569,28986,2008,357,8,49,562
37085,Harnett,NC,114678,78300,23973,1392,1029,139,6272,3573,12359,102319,73707,23591,991,983,126,202,2719
37087,Haywood,NC,59036,56405,624,303,215,15,844,630,1999,57037,55368,615,270,212,8,30,534
37089,Henderson,NC,106740,94914,3224,449,1022,178,4934,2019,10424,96316,90105,3149,318,994,165,105,1480
37091,Hertford,NC,24669,8786,14933,274,131,5,235,305,644,24025,8479,14845,271,127,1,46,256
37093,Hoke,NC,46952,21272,15716,4512,484,117,2743,2108,5823,41129,19142,15392,4313,467,88,88,1639
37095,Hyde,NC,5810,3718,1836,28,16,1,142,69,411,5399,3436,1833,22,16,1,26,65
37097,Iredell,NC,159437,128646,19047,547,2922,43,5348,2884,10844,148593,124107,18748,416,2899,36,178,2209
37099,Jackson,NC,40271,33489,745,3804,348,16,1087,782,2038,38233,32795,729,3656,339,14,23,677
37101,Johnston,NC,168878,125349,25546,939,1021,51,12653,3319,21814,147064,117869,25082,689,976,33,231,2184
37103,Jones,NC,10153,6395,3289,57,32,2,190,188,398,9755,6217,3276,51,32,2,12,165
37105,Lee,NC,57866,38688,11565,407,489,20,5286,1411,10576,47290,34321,11369,253,475,13,80,779
37107,Lenoir,NC,59495,31758,24121,222,262,48,2299,785,3917,55578,30492,23968,163,256,26,66,607
37109,Lincoln,NC,78265,69940,4340,250,421,17,2078,1219,5238,73027,67139,4269,222,415,13,89,880
37111,McDowell,NC,44996,40754,1708,189,351,1,1442,551,2392,42604,39982,1663,131,344,0,24,460
37113,Macon,NC,33922,31811,447,165,208,4,905,382,2230,31692,30599,419,143,201,3,28,299
37115,Madison,NC,20764,20035,240,48,70,8,94,269,423,20341,19734,233,43,70,8,17,236
37117,Martin,NC,24505,13019,10651,73,71,10,434,247,769,23736,12790,10601,65,71,5,10,194
37119,Mecklenburg,NC,919628,508946,282804,4261,42352,668,57113,23484,111944,807684,465372,278042,2843,41991,518,2407,16511
37121,Mitchell,NC,15579,14844,58,65,50,1,397,164,631,14948,14656,53,36,46,1,9,147
37123,Montgomery,NC,27798,19162,5231,120,441,3,2439,402,3926,23872,17875,5182,102,439,3,16,255
37125,Moore,NC,88247,70913,11839,732,754,64,2426,1519,5261,82986,68487,11727,689,736,25,93,1229
37127,Nash,NC,95840,53531,35650,657,747,19,3677,1559,6015,89825,51770,35449,567,713,17,112,1197
37129,New Hanover,NC,202667,160298,29907,1005,2410,130,4852,4065,10716,191951,155631,29469,798,2380,108,353,3212
37131,Northampton,NC,22099,8668,12895,101,39,2,181,213,305,21794,8596,12847,90,38,1,30,192
37133,Onslow,NC,177772,131590,27672,1238,3355,487,5679,7751,17896,159876,122558,26577,1013,3163,438,290,5837
37135,Orange,NC,133801,99495,15928,570,9023,41,5341,3403,11017,122784,94671,15722,383,8996,35,316,2661
