geocode,place,full_name,type,state,diversity_index2010,diversity_index2020,di_change,eth_white_nh_pct2010,eth_black_nh_pct2010,eth_hispanic_pct2010,eth_am_indian_nh_pct2010,eth_asian_nh_pct2010,eth_pac_isl_nh_pct2010,eth_other_nh_pct2010,eth_mult_nh_pct2010,eth_white_nh_pct2020,eth_black_nh_pct2020,eth_hispanic_pct2020,eth_am_indian_nh_pct2020,eth_asian_nh_pct2020,eth_pac_isl_nh_pct2020,eth_other_nh_pct2020,eth_mult_nh_pct2020
3700160,Aberdeen,Aberdeen town,PLACE,NC,0.51642864405728806,0.5513833436179922,0.03495469956070418,0.6481889763779528,0.24456692913385827,0.05086614173228347,0.012913385826771654,0.01700787401574803,0,0.0028346456692913387,0.023622047244094488,0.6301080319398779,0.20678722404884922,0.07057303898543918,0.010803193987787695,0.0185533114138093,1.1742602160638798e-4,0.005166744950681071,0.05789102865194927
3700500,Ahoskie,Ahoskie town,PLACE,NC,0.4793241019315071,0.47754982143753655,-0.001774280493970548,0.28061123238737845,0.6642190910895018,0.01647152212740623,0.01488390553681286,0.012502480650922802,0,0.0015876165905933718,0.009724151617384401,0.23676139848701697,0.6816601921897363,0.022081373952157025,0.01165405847474954,0.013903087303209978,2.0445716622367614e-4,0.0036802289920261706,0.03005520343488039
3700640,Alamance,Alamance village,PLACE,NC,0.11314450116707087,0.27991771705813884,0.16677321589106797,0.9411146161934806,0.029442691903259727,0.012618296529968454,0.002103049421661409,0.010515247108307046,0,0,0.004206098843322818,0.8441295546558705,0.06680161943319839,0.04251012145748988,0.0020242914979757085,0.008097165991902834,0,0.0020242914979757085,0.03441295546558704
3700680,Albemarle,Albemarle city,PLACE,NC,0.4805701723840947,0.5519161646024713,0.07134599221837656,0.6832044268377035,0.2224737470917437,0.04521159529648494,0.0028296547821165816,0.029239766081871343,6.288121738036849e-5,8.803370433251588e-4,0.016097591649374333,0.6210443037974683,0.23569863680623174,0.061100292112950344,0.002677702044790652,0.02750730282375852,6.085686465433301e-5,0.0037122687439143137,0.048198636806231744
3701000,Alliance,Alliance town,PLACE,NC,0.3358984748644914,0.3943650437660179,0.05846656890152646,0.7989690721649485,0.15721649484536082,0.030927835051546393,0.001288659793814433,0.003865979381443299,0,0,0.007731958762886598,0.7585266030013642,0.16780354706684858,0.03819918144611187,0.001364256480218281,0.0068212824010914054,0.001364256480218281,0.001364256480218281,0.02455661664392906
3701380,Andrews,Andrews town,PLACE,NC,0.2354001199888649,0.2964645223324863,0.06106440234362143,0.8702975856260527,0.00673778775968557,0.07523862998315553,0.010106681639528355,5.614823133071309e-4,0,0,0.03705783267827063,0.8326334733053389,0.01259748050389922,0.08338332333533294,0.014997000599880024,0,0,0.0023995200959808036,0.05398920215956809
3701400,Angier,Angier town,PLACE,NC,0.5985849649887699,0.6234480419982161,0.024863077009446233,0.56,0.2149425287356322,0.20344827586206896,0.0022988505747126436,0.0052873563218390806,2.2988505747126436e-4,0,0.013793103448275862,0.540360873694207,0.1908831908831909,0.2157644824311491,0.001899335232668566,0.007407407407407408,0,0.005128205128205128,0.03855650522317189
3701420,Ansonville,Ansonville town,PLACE,NC,0.44707040619246985,0.4259504132231404,-0.021119992969329426,0.2694136291600634,0.6925515055467512,0.025356576862123614,0,0.00792393026941363,0,0.001584786053882726,0.003169572107765452,0.225,0.7227272727272728,0.029545454545454545,0.004545454545454545,0.0022727272727272726,0,0.0022727272727272726,0.013636363636363636
3701520,Apex,Apex town,PLACE,NC,0.40715271848768875,0.5194805991071024,0.11232788061941368,0.7595527804461522,0.07431422777244102,0.07084534101825168,0.002054648308250614,0.07047176859856975,4.269399082079197e-4,0.002081332052513609,0.02025296189561319,0.6719632528070772,0.06553249404559373,0.08341272541680844,0.0016842463422932971,0.12410683906090507,2.7220142905750254e-4,0.005052739026879891,0.04797550187138482
3701640,Arapahoe,Arapahoe town,PLACE,NC,0.3016277625381709,0.3474135539940829,0.045785791455911995,0.829136690647482,0.052158273381294966,0.08812949640287769,0.0017985611510791368,0,0.014388489208633094,0,0.014388489208633094,0.8004807692307693,0.0673076923076923,0.07211538461538461,0.014423076923076924,0,0,0.002403846153846154,0.04326923076923077
3701720,Archdale,Archdale city,PLACE,NC,0.26292381423264255,0.43258127789435896,0.1696574636617164,0.8552781427945686,0.03898379325448971,0.040473061760841,0.005256241787122208,0.04756898817345598,0,0.0012264564169951818,0.011213315812527377,0.7416645670613925,0.06248425296044344,0.06609557403208197,0.0046191316032585875,0.08910724783740656,1.679684219366759e-4,0.0025195263290501385,0.03334173175443017
3701760,Archer Lodge,Archer Lodge town,PLACE,NC,0.38616079765210465,0.4754900970218472,0.08932929936974254,0.7688723205964585,0.08760484622553588,0.12162162162162163,0.0039608574091332715,0.0027958993476234857,2.3299161230195712e-4,0.0013979496738117428,0.013513513513513514,0.7010631644777986,0.07442151344590368,0.15801542630810925,0.004586199708150928,0.005628517823639775,8.338544923910778e-4,0.006253908692933083,0.04919741505107359
3702080,Asheboro,Asheboro city,PLACE,NC,0.577513588296105,0.6193686848321805,0.04185509653607555,0.5798816568047337,0.11670398208859747,0.26863105709259555,0.0037182152566767952,0.013273628658244043,3.1984647369262754e-4,0.001719174796097873,0.015752438829361906,0.5271394903520401,0.12152010605391074,0.2940418323759022,0.004382088672853145,0.013440860215053764,1.104728236853734e-4,0.003056414788628664,0.036308734717926054
