geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45033970100,Dillon,SC,3467,1272,1812,204,2,2,110,65,169,3298,1230,1801,197,2,2,4,62
45033970200,Dillon,SC,6017,2904,2618,186,5,2,209,93,340,5677,2796,2611,176,5,2,1,86
45033970301,Dillon,SC,2678,2222,348,38,35,0,14,21,27,2651,2209,348,33,35,0,9,17
45033970302,Dillon,SC,2569,703,1750,40,2,1,31,42,50,2519,701,1740,37,2,1,0,38
45033970401,Dillon,SC,2360,761,1438,97,2,0,18,44,44,2316,745,1430,94,2,0,6,39
45033970402,Dillon,SC,3105,623,2369,37,13,1,13,49,29,3076,606,2363,37,13,1,8,48
45033970500,Dillon,SC,4370,2572,1670,46,4,2,42,34,60,4310,2556,1669,45,3,2,1,34
45033970601,Dillon,SC,3500.8241667209622,1933.824166720962,1353,72,8,0,26,108,59,3441.8241667209622,1918.824166720962,1352,65,7,0,4,95
45033970602,Dillon,SC,3995.1758332790378,2408.1758332790378,1424,70,7,0,18,68,55,3940.1758332790378,2390.1758332790378,1416,67,7,0,1,59
45035010100,Dorchester,SC,2563,1407,1107,7,4,0,16,22,27,2536,1400,1102,7,4,0,1,22
45035010200,Dorchester,SC,5120,2283,2715,33,17,2,23,47,56,5064,2265,2706,33,17,2,0,41
45035010301,Dorchester,SC,2128,1211,861,9,13,0,12,22,40,2088,1188,859,9,13,0,0,19
45035010302,Dorchester,SC,3585,2030,1463,30,3,0,16,43,55,3530,1995,1456,30,3,0,7,39
45035010400,Dorchester,SC,5880.628694210173,2818.355404754526,2639.517534016769,243.96351274897182,15,10,65.88360640149693,87.90863628840987,189.5409771795439,5691.087717030629,2729.2246286281,2635.2538149016286,242.96351274897182,10,0,2.7371244635193133,70.90863628840987
45035010501,Dorchester,SC,4637.786296375295,3607.75581752852,790.4731733940077,26.11636336969221,45.675421286616995,3,56,108.76552079645822,177,4460.786296375295,3517.75581752852,781.4731733940077,25.11636336969221,40.675421286616995,3,7,85.76552079645822
45035010503,Dorchester,SC,2777,2296,361,20,15,1,18,66,70,2707,2250,359,20,15,0,1,62
45035010505,Dorchester,SC,6494,5108,974,29,72,7,87,217,264,6230,4979,951,28,68,7,4,193
45035010506,Dorchester,SC,1620,1223,290,19,12,0,24,52,68,1552,1192,289,19,12,0,0,40
45035010507,Dorchester,SC,2367,1471,759,20,14,0,23,80,131,2236,1401,735,16,14,0,1,69
45035010508,Dorchester,SC,2094,1541,426,15,32,0,20,60,72,2022,1499,426,15,32,0,0,50
45035010603,Dorchester,SC,6128.422328489701,4979.001342417374,717.8886767066226,55.73844192952034,38.683440243435776,3,169.100350394872,165.01007679787597,341.9680726688698,5786.45425582083,4834.169484019294,705.8886767066226,55.73844192952034,37.683440243435776,3,15.223356112628808,134.75085680932898
45035010604,Dorchester,SC,3836.759099115022,2852.7703728017573,856.9928797767986,17.999406648066557,9.999406648066557,3,21,74.99703324033278,104.98931966519801,3731.769779449824,2782.7798664326924,848.9928797767986,16.999406648066557,8.999406648066557,3,5,65.99821994419968
45035010606,Dorchester,SC,1752,1399,304,11,8,0,6,24,13,1739,1391,304,11,8,0,2,23
45035010607,Dorchester,SC,4895.808573400269,3817.087146670852,809.5761329527716,22,42.10724979927266,2,38.06359588873841,164.97444808863392,153.82606545573117,4741.982507944537,3717.7137023484875,804.5761329527716,22,41.10724979927266,2,7,147.58542284400554
45035010608,Dorchester,SC,3306.1914265997316,2501.912853329148,606.4238670472283,16,27.892750200727342,2,30.936404111261588,121.02555191136608,113.17393454426882,3193.0174920554628,2446.2862976515125,597.4238670472283,16,27.892750200727342,2,0,103.41457715599446
45035010700,Dorchester,SC,5442.275797278772,2737.637063541226,2373.4579620541936,16.299114179639517,39.56207740282738,0,135.88685702859613,139.43272307228983,359.1995552808528,5083.076241997919,2566.957283440313,2348.6626540899656,12.299114179639517,39.56207740282738,0,3,112.59511288517422
45035010801,Dorchester,SC,5163.85466423205,4158.767515913258,861,14,45.04357415939614,1.0435741593961376,16,68,145,5018.85466423205,4036.7675159132573,855,14,45.04357415939614,1.0435741593961376,1,66
45035010807,Dorchester,SC,4466,3763,493,18,64,7,27,94,130,4336,3670,486,17,64,7,1,91
45035010808,Dorchester,SC,7259.224386589249,5623.946512187943,1205.2222995210445,34,62,33,75,226.05557488026116,271,6988.224386589249,5463.946512187943,1188.2222995210445,32,61,31,13,199.05557488026116
45035010809,Dorchester,SC,3341,2694,502,15,43,0,34,53,100,3241,2627,499,15,42,0,9,49
45035010813,Dorchester,SC,8733,5990,2179,35,140,6,132,251,396,8337,5797,2150,31,136,6,13,204
45035010814,Dorchester,SC,6212,4225,1512,31,141,2,95,206,282,5930,4090,1480,29,140,2,14,175
45035010815,Dorchester,SC,2894,1759,885,23,63,3,51,110,188,2706,1668,869,13,61,3,6,86
45035010817,Dorchester,SC,4620,3402,886,12,108,5,80,127,286,4334,3221,878,12,107,5,6,105
45035010818,Dorchester,SC,8016,3080,3944,32,231,17,404,308,926,7090,2679,3906,27,230,17,16,215
