county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
13117,Forsyth,GA,175511,149946,4510,575,10925,66,6613,2876,16550,158961,140943,4287,362,10875,54,316,2124
13119,Franklin,GA,22084,19280,1850,42,121,4,409,378,866,21218,18913,1821,29,121,4,25,305
13121,Fulton,GA,920581,409697,405575,2259,51569,335,30867,20279,72566,848015,376014,400457,1586,51304,287,2582,15785
13123,Gilmer,GA,28292,26115,135,94,74,39,1464,371,2677,25615,25078,98,72,65,15,18,269
13125,Glascock,GA,3082,2767,253,7,1,0,19,35,33,3049,2750,251,7,1,0,5,35
13127,Glynn,GA,79626,53823,20726,232,921,95,2399,1430,5126,74500,51602,20525,146,894,74,107,1152
13129,Gordon,GA,55186,47032,2005,202,540,71,4252,1084,7738,47448,44107,1945,130,522,49,44,651
13131,Grady,GA,25011,15716,7176,182,106,21,1417,393,2500,22511,14879,7129,135,94,10,31,233
13133,Greene,GA,15994,9056,6105,50,54,13,540,176,893,15101,8771,6078,38,54,10,15,135
13135,Gwinnett,GA,805321,429563,190167,4038,85292,477,70492,25292,162035,643286,354316,184122,1535,84763,343,2489,15718
13137,Habersham,GA,43041,36893,1444,195,960,65,2713,771,5333,37708,34621,1412,81,955,47,34,558
13139,Hall,GA,179684,133197,13279,811,3226,167,25042,3962,46906,132778,114300,12757,372,3181,57,249,1862
13141,Hancock,GA,9429,2300,6983,35,47,1,6,57,139,9290,2212,6959,21,47,1,0,50
13143,Haralson,GA,28780,26707,1353,66,141,2,115,396,318,28462,26516,1342,63,139,2,21,379
13145,Harris,GA,32024,25392,5506,108,287,17,238,476,872,31152,24848,5457,100,280,17,45,405
13147,Hart,GA,25213,19515,4710,29,218,0,422,319,786,24427,19213,4691,28,211,0,21,263
13149,Heard,GA,11834,10284,1159,36,56,3,91,205,223,11611,10190,1152,32,56,2,4,175
13151,Henry,GA,203922,112201,75277,555,5968,129,4815,4977,11813,192109,107083,74056,482,5902,110,504,3972
13153,Houston,GA,139900,88626,39998,475,3403,185,3360,3853,8515,131385,84703,39535,392,3360,96,210,3089
