fips,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37001,Alamance,NC,171415,105847,34014,1427,2848,105,15439,11735,24703,146712,102487,33555,584,2811,86,762,6427
37003,Alexander,NC,36444,31284,1932,144,392,5,1009,1678,1836,34608,30893,1919,111,390,1,83,1211
37005,Alleghany,NC,10888,9544,104,47,15,6,602,570,1288,9600,9186,103,35,15,6,4,251
37007,Anson,NC,22055,10692,9871,106,221,7,443,715,665,21390,10593,9838,89,221,4,38,607
37009,Ashe,NC,26577,24435,127,77,103,12,723,1100,1519,25058,24028,125,48,102,12,43,700
37011,Avery,NC,17806,15746,664,89,63,1,547,696,987,16819,15549,649,58,56,1,44,462
37013,Beaufort,NC,44652,29817,10303,168,166,16,2352,1830,3433,41219,29431,10195,90,164,16,122,1201
37015,Bertie,NC,17934,6339,10720,63,63,6,207,536,330,17604,6298,10674,57,63,0,49,463
37017,Bladen,NC,29606,16102,9576,799,48,11,1792,1278,2546,27060,15830,9505,701,47,8,67,902
37019,Brunswick,NC,136693,112307,11546,895,910,92,3554,7389,7420,129273,110716,11392,743,890,75,366,5091
37021,Buncombe,NC,269452,218867,15311,1243,3322,496,11249,18964,21922,247530,214862,15017,727,3274,467,1382,11801
37023,Burke,NC,87570,69671,4854,1337,3168,70,3829,4641,7184,80386,68664,4762,238,3150,64,240,3268
37025,Cabarrus,NC,225804,137756,42622,1133,11984,137,14863,17309,27263,198541,133781,41687,598,11933,122,1108,9312
37027,Caldwell,NC,80652,68859,3914,340,544,16,2521,4458,4923,75729,67868,3843,196,527,15,238,3042
37029,Camden,NC,10355,8312,1055,49,119,2,122,696,340,10015,8200,1049,40,118,1,53,554
37031,Carteret,NC,67686,58255,3274,312,594,63,1417,3771,3119,64567,57538,3208,252,584,63,252,2670
37033,Caswell,NC,22736,14232,6824,85,64,22,553,956,1002,21734,14036,6804,65,61,13,57,698
37035,Catawba,NC,160610,118946,12835,1023,7023,94,9488,11201,17377,143233,116120,12628,379,6937,78,539,6552
37037,Chatham,NC,76285,54431,7914,471,1627,37,6343,5462,10372,65913,53087,7768,173,1616,24,308,2937
37039,Cherokee,NC,28774,25640,381,436,158,0,327,1832,899,27875,25366,373,417,158,0,66,1495
37041,Chowan,NC,13708,8351,4408,47,40,1,302,559,530,13178,8268,4376,43,39,1,18,433
37043,Clay,NC,11089,10150,65,44,40,9,177,604,438,10651,10044,60,44,40,7,23,433
37045,Cleveland,NC,99519,71076,20159,277,861,25,2091,5030,4039,95480,70163,20034,222,854,23,327,3857
37047,Columbus,NC,50623,30380,14586,1732,161,14,1771,1979,2613,48010,30019,14503,1670,156,10,143,1509
37049,Craven,NC,100720,66703,20204,413,3093,167,3003,7137,7195,93525,64933,19903,318,3059,150,446,4716
37051,Cumberland,NC,334728,141912,127610,5556,9173,1454,15833,33190,39498,295230,133201,124173,4647,8943,1357,2206,20703
37053,Currituck,NC,28100,23878,1392,118,275,27,407,2003,1218,26882,23505,1377,98,265,22,109,1506
37055,Dare,NC,36915,32429,703,181,265,10,1166,2161,2554,34361,31921,678,99,260,10,140,1253
37057,Davidson,NC,168930,131922,16065,1018,2468,50,7791,9616,13902,155028,129487,15839,665,2440,43,491,6063
37059,Davie,NC,42712,35340,2428,207,280,7,1913,2537,3375,39337,34809,2413,96,277,5,124,1613
37061,Duplin,NC,48715,26084,11604,488,173,14,7210,3142,10813,37902,24945,11437,154,155,4,120,1087
37063,Durham,NC,324833,139231,110610,2285,16817,131,32046,23713,50104,274729,133768,109225,704,16707,83,1809,12433
37065,Edgecombe,NC,48900,17631,27429,194,113,12,1867,1654,2706,46194,17340,27299,128,112,9,138,1168
37067,Forsyth,NC,382590,214877,95324,2528,9280,285,32196,28100,54688,327902,208126,93738,978,9179,233,1623,14025
37069,Franklin,NC,68573,43473,15990,491,465,24,4131,3999,6962,61611,42285,15785,259,452,17,277,2536
37071,Gaston,NC,227943,156794,40323,1082,3543,74,11018,15109,20068,207875,153653,39762,753,3509,59,844,9295
37073,Gates,NC,10478,6762,3023,71,25,12,87,498,201,10277,6705,3022,64,21,10,29,426
37075,Graham,NC,8030,6913,50,590,22,5,97,353,219,7811,6885,46,570,20,4,4,282
37077,Granville,NC,60992,34579,18435,370,370,36,3926,3276,6211,54781,33610,18315,205,366,24,207,2054
