fips,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37079,Greene,NC,20451,9992,7250,185,37,12,2095,880,2936,17515,9644,7206,95,37,0,78,455
37081,Guilford,NC,541299,263428,181848,3183,28922,265,28722,34931,52152,489147,255640,179423,1918,28719,216,2850,20381
37083,Halifax,NC,48622,19304,24846,1667,284,11,856,1654,1454,47168,19070,24737,1593,281,11,142,1334
37085,Harnett,NC,133568,81867,27417,1423,1494,274,9481,11612,18899,114669,77876,26769,978,1408,242,707,6689
37087,Haywood,NC,62089,56440,663,363,370,1,1230,3022,2829,59260,55685,656,308,360,1,156,2094
37089,Henderson,NC,116281,94151,3388,565,1347,629,8394,7807,14999,101282,91747,3299,284,1296,241,400,4015
37091,Hertford,NC,21552,7622,12393,206,123,3,466,739,1579,19973,6721,12215,188,113,3,99,634
37093,Hoke,NC,52082,21031,16766,4063,750,213,3730,5529,7687,44395,19667,16385,3803,716,189,336,3299
37095,Hyde,NC,4589,2956,1169,10,7,2,216,229,347,4242,2928,1152,7,7,2,15,131
37097,Iredell,NC,186693,139369,21678,711,4785,82,7612,12456,15777,170916,136393,21255,437,4718,58,656,7399
37099,Jackson,NC,43109,33426,856,4098,512,10,1663,2544,3292,39817,32800,736,3849,497,10,105,1820
37101,Johnston,NC,215999,142425,33730,1767,1886,103,18150,17938,34400,181599,136464,33041,880,1831,71,913,8399
37103,Jones,NC,9172,5867,2579,61,34,5,208,418,394,8778,5787,2564,42,32,0,35,318
37105,Lee,NC,63285,38413,10885,533,663,49,7418,5324,13122,50163,36055,10701,231,643,43,227,2263
37107,Lenoir,NC,55122,27113,22195,182,336,31,2675,2590,4365,50757,26582,22034,134,332,22,135,1518
37109,Lincoln,NC,86810,72716,4482,328,711,33,3004,5536,6412,80398,71661,4405,237,692,15,208,3180
37111,McDowell,NC,44578,38356,1732,216,388,0,1777,2109,2947,41631,37788,1707,136,388,0,129,1483
37113,Macon,NC,37014,32099,257,279,265,8,1770,2336,3498,33516,31535,252,167,250,6,103,1203
37115,Madison,NC,21193,19373,215,71,87,3,325,1119,748,20445,19233,197,56,84,1,73,801
37117,Martin,NC,22031,11624,8922,82,99,3,570,731,895,21136,11528,8868,69,98,1,64,508
37119,Mecklenburg,NC,1115482,520567,330458,6700,72035,651,97581,87490,169922,945560,498683,324832,2730,71583,531,6889,40312
37121,Mitchell,NC,14903,13663,53,30,54,1,357,745,701,14202,13514,50,30,52,1,30,525
37123,Montgomery,NC,25751,16917,4226,139,393,9,2746,1321,3924,21827,16504,4192,76,391,2,47,615
37125,Moore,NC,99727,77010,10671,825,1264,60,3341,6556,7365,92362,75391,10545,688,1237,59,351,4091
37127,Nash,NC,94970,47378,36958,739,915,42,4675,4263,7322,87648,46317,36679,615,904,28,407,2698
37129,New Hanover,NC,225702,170837,27386,1038,3515,154,8128,14644,17300,208402,167150,26974,678,3468,148,992,8992
37131,Northampton,NC,17471,6915,9689,48,27,4,214,574,353,17118,6835,9649,43,27,4,76,484
37133,Onslow,NC,204576,137072,28026,1460,4729,825,10196,22268,27641,176935,129499,26939,1019,4508,777,1148,13045
37135,Orange,NC,148696,99091,15848,851,12674,51,8092,12089,15812,132884,96537,15571,334,12615,43,798,6986
37137,Pamlico,NC,12276,9216,2061,58,62,8,243,628,496,11780,9104,2055,58,50,5,51,457
37139,Pasquotank,NC,40568,22019,14478,213,470,30,1029,2329,2237,38331,21577,14316,150,458,28,178,1624
37141,Pender,NC,60203,45305,7619,354,342,31,2834,3718,4982,55221,44418,7544,195,319,23,243,2479
37143,Perquimans,NC,13005,9412,2715,39,39,10,136,654,309,12696,9333,2686,35,36,7,41,558
37145,Person,NC,39097,25554,9937,281,125,8,1256,1936,2195,36902,25132,9879,240,124,8,121,1398
37147,Pitt,NC,170243,88790,60414,711,3078,106,7779,9365,12968,157275,86837,59813,494,3056,94,752,6229
37149,Polk,NC,19328,16934,698,81,60,14,446,1095,1026,18302,16716,689,51,60,7,41,738
37151,Randolph,NC,144171,111459,8748,1150,2173,16,10775,9850,19051,125120,108354,8592,666,2158,10,412,4928
37153,Richmond,NC,42946,23969,12881,1041,364,20,2217,2454,3072,39874,23610,12770,994,360,7,167,1966
37155,Robeson,NC,116530,30041,26424,44871,908,79,8192,6015,11757,104773,29159,26218,43536,897,63,411,4489
37157,Rockingham,NC,91096,65434,16789,441,500,30,3248,4654,6086,85010,64218,16611,282,493,29,287,3090
37159,Rowan,NC,146875,102693,23012,761,1522,88,9003,9796,15940,130935,100135,22730,444,1505,71,535,5515
37161,Rutherford,NC,64444,52808,5903,224,348,25,1506,3630,3286,61158,52026,5836,152,343,23,210,2568
37163,Sampson,NC,59036,31254,14130,1294,231,22,8500,3605,12249,46787,29729,13944,1002,216,18,156,1722
37165,Scotland,NC,34174,14402,13162,3745,343,15,718,1789,1106,33068,14247,13094,3705,339,15,112,1556
37167,Stanly,NC,62504,49149,7079,275,1145,9,1881,2966,3086,59418,48645,7000,210,1140,9,131,2283
37169,Stokes,NC,44520,39966,1644,181,159,13,628,1929,1456,43064,39609,1619,140,158,11,77,1450
37171,Surry,NC,71359,59307,2486,314,378,16,4754,4104,8496,62863,57771,2413,130,370,11,148,2020
37173,Swain,NC,14117,8638,108,4171,54,14,224,908,592,13525,8541,102,4030,53,10,44,745
37175,Transylvania,NC,32986,28957,1037,125,173,22,848,1824,1698,31288,28542,1027,102,173,22,115,1307
37177,Tyrrell,NC,3245,1903,938,5,43,0,154,202,272,2973,1879,934,5,43,0,13,99
37179,Union,NC,238267,165562,26981,1215,9572,122,16335,18480,30110,208157,161113,26500,641,9516,90,1199,9098
37181,Vance,NC,42578,16682,21237,161,286,11,2493,1708,3717,38861,16243,21081,91,284,9,110,1043
37183,Wake,NC,1129410,663832,208493,5756,97042,572,68297,85418,128241,1001169,645020,204535,2760,96665,453,6210,45526
37185,Warren,NC,18642,7253,9114,978,62,4,509,722,739,17903,7209,9049,953,62,4,65,561
37187,Washington,NC,11003,4999,5375,23,37,9,223,337,371,10632,4958,5350,15,37,3,36,233
37189,Watauga,NC,54086,45726,2149,131,945,19,2161,2955,3521,50565,44986,2101,82,938,11,438,2009
37191,Wayne,NC,117333,62452,35795,682,1580,77,9153,7594,14927,102406,60199,35329,335,1542,71,454,4476
37193,Wilkes,NC,65969,57105,2634,218,325,11,2725,2951,4654,61315,56316,2580,86,324,5,131,1873
37195,Wilson,NC,78784,37341,30097,489,900,25,5661,4271,9024,69760,36106,29842,239,900,10,257,2406
37197,Yadkin,NC,37214,30842,1136,203,143,0,2855,2035,4382,32832,30357,1071,63,142,0,87,1112
37199,Yancey,NC,18470,16866,108,82,40,3,503,868,1016,17454,16625,104,57,40,1,40,587
