place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
0109400,Brighton,AL,2945,190,2384,28,0,0,317,26,407,2538,137,2376,7,0,0,3,15
0109424,Brilliant,AL,900,885,2,1,1,0,2,9,14,886,875,2,1,1,0,0,7
0109457,Bristow Cove,AL,683,622,0,10,1,0,35,15,45,638,621,0,10,1,0,0,6
0109500,Brook Highland,AL,6746,4966,1092,11,295,0,237,145,529,6217,4728,1088,11,294,0,17,79
0109736,Brookside,AL,1363,1084,252,4,1,0,3,19,9,1354,1077,251,4,1,0,3,18
0109808,Brookwood,AL,1828,1685,96,12,2,0,7,26,36,1792,1659,94,12,2,0,2,23
0109880,Broomtown,AL,182,179,3,0,0,0,0,0,0,182,179,3,0,0,0,0,0
0110240,Brundidge,AL,2076,708,1306,10,12,0,13,27,62,2014,671,1302,10,7,0,0,24
0110456,Bucks,AL,32,19,10,1,0,0,0,2,1,31,18,10,1,0,0,0,2
0111032,Butler,AL,1894,1352,505,4,4,0,15,14,14,1880,1349,505,4,4,0,4,14
0111416,Calera,AL,11620,8273,2668,23,75,5,340,236,578,11042,8094,2651,23,71,3,12,188
0111488,Calvert,AL,277,147,98,19,0,0,6,7,6,271,146,98,18,0,0,2,7
0111512,Camden,AL,2020,848,1159,2,0,0,3,8,14,2006,839,1156,2,0,0,1,8
0111680,Camp Hill,AL,1014,103,896,1,1,0,5,8,7,1007,103,892,1,1,0,2,8
0112016,Carbon Hill,AL,2021,1807,165,4,3,0,13,29,24,1997,1802,161,3,2,0,1,28
0112040,Cardiff,AL,55,52,3,0,0,0,0,0,0,55,52,3,0,0,0,0,0
0112070,Carlisle-Rockledge,AL,2137,2030,20,19,3,0,30,35,66,2071,2007,19,19,3,0,0,23
0112112,Carlton,AL,65,43,22,0,0,0,0,0,2,63,41,22,0,0,0,0,0
0112160,Carolina,AL,297,287,1,1,0,0,0,8,0,297,287,1,1,0,0,0,8
0112304,Carrollton,AL,1019,499,439,1,0,0,37,43,106,913,462,437,1,0,0,1,12
0112496,Castleberry,AL,583,345,224,2,0,0,1,11,3,580,345,221,2,0,0,1,11
0112544,Catherine,AL,22,16,6,0,0,0,0,0,0,22,16,6,0,0,0,0,0
0112760,Cedar Bluff,AL,1820,1568,181,12,6,0,10,43,22,1798,1558,181,12,6,0,3,38
0113264,Center Point,AL,16921,5519,10635,35,65,4,477,186,806,16115,5268,10582,31,52,4,25,153
0113648,Centre,AL,3489,3034,347,13,11,0,11,73,41,3448,3014,345,13,10,0,6,60
0113672,Centreville,AL,2778,2007,657,7,10,0,66,31,82,2696,1997,655,7,10,0,2,25
0114008,Chatom,AL,1288,878,401,0,0,0,4,5,8,1280,876,399,0,0,0,0,5
0114104,Chelsea,AL,10183,9109,582,33,208,13,108,130,325,9858,8919,581,33,205,13,10,97
0114152,Cherokee,AL,1048,813,192,5,3,0,11,24,18,1030,809,192,5,3,0,0,21
0114392,Chickasaw,AL,6106,3848,2049,50,33,1,54,71,142,5964,3782,2036,46,33,1,3,63
0114464,Childersburg,AL,5175,3108,1911,21,25,0,17,93,66,5109,3071,1905,20,24,0,4,85
0114728,Choccolocco,AL,2804,2454,202,9,21,0,66,52,121,2683,2412,200,9,21,0,1,40
0114968,Chunchula,AL,210,96,109,0,0,0,0,5,1,209,96,109,0,0,0,0,4
0115064,Citronelle,AL,3905,2760,789,192,20,0,58,86,103,3802,2737,788,186,16,0,4,71
0115136,Clanton,AL,8619,6454,1642,25,53,6,318,121,520,8099,6304,1620,24,51,5,11,84
0115256,Clay,AL,9708,8168,1292,29,59,3,54,103,127,9581,8093,1287,28,59,3,14,97
0115304,Clayhatchee,AL,589,559,10,2,2,3,2,11,14,575,547,10,2,2,3,0,11
0115376,Clayton,AL,3008,1077,1920,0,1,0,0,10,19,2989,1068,1913,0,1,0,0,7
0115472,Cleveland,AL,1303,1162,4,3,4,0,112,18,240,1063,1041,0,3,4,0,0,15
0115640,Clio,AL,1399,447,510,5,7,2,423,5,503,896,370,508,5,7,2,3,1
0116000,Coaling,AL,1657,1432,189,1,1,0,6,28,14,1643,1427,189,1,1,0,0,25
0116080,Coats Bend,AL,1394,1176,175,7,0,0,8,28,12,1382,1169,175,7,0,0,3,28
0116240,Coffee Springs,AL,228,219,0,0,0,0,2,7,6,222,216,0,0,0,0,0,6
0116264,Coffeeville,AL,352,181,162,0,0,0,0,9,2,350,181,160,0,0,0,0,9
0116312,Coker,AL,979,932,20,2,9,0,15,1,18,961,929,20,2,9,0,0,1
0116600,Collinsville,AL,1983,948,179,22,2,42,730,60,855,1128,891,179,18,2,4,2,32
0116684,Colony,AL,268,28,233,0,1,0,0,6,1,267,28,232,0,1,0,0,6
0116744,Columbia,AL,740,570,156,3,0,0,1,10,3,737,568,156,3,0,0,0,10
0116768,Columbiana,AL,4197,2993,1055,13,10,3,68,55,127,4070,2936,1055,5,10,3,7,54
0116936,Concord,AL,1837,1809,10,3,3,0,0,12,9,1828,1800,10,3,3,0,0,12
0117176,Coosada,AL,1224,706,490,5,2,0,13,8,36,1188,684,489,5,2,0,0,8
0117368,Cordova,AL,2095,1747,304,16,2,0,6,20,15,2080,1740,304,16,2,0,0,18
0117824,Cottonwood,AL,1289,925,328,8,0,0,3,25,14,1275,917,327,8,0,0,0,23
0117968,County Line,AL,258,243,3,8,3,0,0,1,1,257,242,3,8,3,0,0,1
0118040,Courtland,AL,609,351,234,8,2,0,0,14,2,607,349,234,8,2,0,0,14
0118088,Cowarts,AL,1871,1511,273,14,2,0,12,59,31,1840,1503,271,8,2,0,7,49
0118304,Creola,AL,1926,1632,188,34,2,1,37,32,59,1867,1614,188,31,2,1,1,30
0118856,Crossville,AL,1862,1652,8,35,4,2,117,44,155,1707,1624,8,31,3,0,0,41
0118952,Cuba,AL,346,295,45,2,0,0,0,4,1,345,294,45,2,0,0,0,4
0118976,Cullman,AL,14775,13797,127,49,139,3,504,156,1216,13559,13128,113,46,138,3,10,121
0119024,Cullomburg,AL,171,72,98,0,0,0,0,1,0,171,72,98,0,0,0,0,1
0119216,Cusseta,AL,123,118,3,0,2,0,0,0,0,123,118,3,0,2,0,0,0
0119336,Dadeville,AL,3230,1621,1533,10,20,0,11,35,29,3201,1608,1531,10,20,0,1,31
0119360,Daleville,AL,5295,3503,1198,60,143,10,151,230,535,4760,3185,1171,49,143,9,10,193
0119648,Daphne,AL,21570,18132,2536,96,334,13,190,269,620,20950,17715,2520,90,334,10,35,246
0119744,Dauphin Island,AL,1238,1205,5,12,2,0,2,12,9,1229,1197,5,12,2,0,1,12
0119816,Daviston,AL,214,190,22,0,2,0,0,0,4,210,186,22,0,2,0,0,0
0119912,Dayton,AL,52,17,34,0,0,0,0,1,0,52,17,34,0,0,0,0,1
0120008,Deatsville,AL,1154,896,224,1,3,0,4,26,19,1135,887,221,1,3,0,1,22
0120104,Decatur,AL,55683,37038,12067,391,499,80,4389,1219,6882,48801,35037,11971,309,480,43,53,908
