place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
2814740,Coffeeville,MS,905,376,503,0,6,0,2,18,10,895,374,501,0,6,0,1,13
2814900,Coldwater,MS,1677,376,1269,7,3,0,10,12,24,1653,369,1260,7,3,0,4,10
2815140,Collins,MS,2586,1142,1321,3,8,0,89,23,109,2477,1130,1316,3,8,0,2,18
2815180,Collinsville,MS,1948,1640,255,1,14,0,16,22,37,1911,1628,254,1,12,0,0,16
2815340,Columbia,MS,6582,3691,2667,16,52,2,67,87,137,6445,3631,2661,14,52,2,5,80
2815380,Columbus,MS,23640,8842,14187,42,164,3,145,257,337,23303,8718,14136,41,161,3,14,230
2815420,Columbus AFB,MS,1373,1069,161,2,46,20,25,50,100,1273,1016,154,2,46,20,3,32
2815500,Como,MS,1279,341,930,0,0,0,2,6,3,1276,340,930,0,0,0,0,6
2815540,Conehatta,MS,1342,207,85,1022,1,0,3,24,31,1311,207,85,1003,0,0,0,16
2815700,Corinth,MS,14573,10408,3386,30,74,6,463,206,769,13804,10163,3374,18,74,3,10,162
2815980,Courtland,MS,511,230,279,0,0,0,0,2,0,511,230,279,0,0,0,0,2
2816420,Crawford,MS,641,51,576,4,0,0,0,10,4,637,51,575,4,0,0,0,7
2816460,Crenshaw,MS,885,191,683,1,0,0,7,3,7,878,191,682,0,0,0,2,3
2816620,Crosby,MS,318,62,253,1,0,0,0,2,0,318,62,253,1,0,0,0,2
2816940,Crowder,MS,712,360,344,0,1,0,1,6,7,705,359,343,0,1,0,0,2
2816980,Cruger,MS,386,55,329,0,2,0,0,0,2,384,55,327,0,2,0,0,0
2817060,Crystal Springs,MS,5044,1864,3097,9,15,0,34,25,109,4935,1807,3083,7,15,0,0,23
2817700,Darling,MS,226,32,189,0,0,0,5,0,5,221,32,189,0,0,0,0,0
2818180,Decatur,MS,1841,1172,629,16,5,0,4,15,17,1824,1163,625,16,5,0,0,15
2818340,De Kalb,MS,1164,378,777,0,0,0,0,9,11,1153,372,773,0,0,0,0,8
2818420,DeLisle,MS,1147,619,468,1,12,0,14,33,27,1120,612,466,0,12,0,5,25
2818940,Derma,MS,1025,379,625,1,0,0,13,7,14,1011,378,625,1,0,0,0,7
2819100,Diamondhead,MS,8425,7915,243,34,92,9,28,104,278,8147,7692,237,30,89,8,5,86
2819180,D'Iberville,MS,9486,6724,1490,50,788,10,113,311,458,9028,6451,1473,41,780,10,17,256
2819340,D'Lo,MS,452,331,113,1,0,4,0,3,4,448,328,113,0,0,4,0,3
2819420,Doddsville,MS,98,9,89,0,0,0,0,0,0,98,9,89,0,0,0,0,0
2820020,Drew,MS,1927,308,1606,3,4,0,0,6,14,1913,308,1594,3,4,0,0,4
2820260,Duck Hill,MS,732,224,495,3,0,0,1,9,5,727,222,493,3,0,0,0,9
2820340,Dumas,MS,470,460,4,0,0,0,1,5,2,468,459,4,0,0,0,0,5
2820380,Duncan,MS,423,115,308,0,0,0,0,0,11,412,104,308,0,0,0,0,0
2820500,Durant,MS,2673,369,2280,6,0,1,8,9,7,2666,368,2278,5,0,1,5,9
2821340,Ecru,MS,895,694,114,0,5,4,68,10,74,821,692,111,0,5,4,0,9
2821420,Eden,MS,103,53,45,0,0,0,1,4,9,94,48,45,0,0,0,0,1
2821580,Edwards,MS,1034,160,855,7,1,0,5,6,9,1025,159,852,7,1,0,0,6
2821940,Elliott,MS,990,801,173,0,0,0,6,10,12,978,795,172,0,0,0,1,10
2822020,Ellisville,MS,4448,2788,1572,6,15,1,31,35,97,4351,2729,1572,6,15,1,1,27
2822580,Enterprise,MS,526,427,96,0,2,0,1,0,1,525,427,96,0,2,0,0,0
2822900,Escatawpa,MS,3722,2840,813,20,10,2,11,26,98,3624,2764,806,20,10,1,0,23
2823220,Ethel,MS,418,236,176,3,0,0,1,2,8,410,229,176,3,0,0,0,2
2823420,Eupora,MS,2197,1212,919,13,0,0,27,26,59,2138,1186,917,7,0,0,2,26
2824180,Falcon,MS,167,8,159,0,0,0,0,0,0,167,8,159,0,0,0,0,0
2824220,Falkner,MS,514,461,22,1,0,0,25,5,36,478,451,22,1,0,0,1,3
2824420,Farmington,MS,2186,2100,39,8,9,0,1,29,6,2180,2099,39,7,9,0,0,26
2824460,Farrell,MS,218,21,197,0,0,0,0,0,0,218,21,197,0,0,0,0,0
2824500,Fayette,MS,1614,26,1580,3,0,0,0,5,3,1611,26,1577,3,0,0,0,5
2824940,Flora,MS,1886,883,966,1,2,0,26,8,67,1819,847,961,1,2,0,0,8
2824980,Florence,MS,4141,3533,542,3,20,0,14,29,46,4095,3503,540,3,20,0,2,27
2825100,Flowood,MS,7823,5886,1455,15,295,0,69,103,185,7638,5787,1444,13,295,0,9,90
2825340,Forest,MS,5684,1777,2758,21,12,48,945,123,1346,4338,1538,2713,11,12,21,5,38
2825740,Foxworth,MS,603,395,194,0,1,0,0,13,4,599,393,194,0,1,0,0,11
2826020,French Camp,MS,174,163,8,0,0,0,0,3,10,164,154,8,0,0,0,0,2
2826060,Friars Point,MS,1200,55,1133,0,0,0,3,9,10,1190,55,1133,0,0,0,0,2
2826300,Fulton,MS,3961,3280,579,3,25,3,27,44,56,3905,3251,579,3,25,3,4,40
2826780,Gattman,MS,90,89,0,0,0,0,0,1,0,90,89,0,0,0,0,0,1
2826860,Gautier,MS,18572,11355,6012,102,274,8,412,409,990,17582,10866,5976,98,272,8,21,341
2826980,Georgetown,MS,286,158,120,1,1,0,0,6,0,286,158,120,1,1,0,0,6
2827540,Glen,MS,412,400,1,0,1,0,6,4,7,405,400,1,0,1,0,0,3
2827620,Glendale,MS,1657,685,941,0,3,0,17,11,45,1612,656,941,0,3,0,1,11
2827660,Glendora,MS,151,1,148,2,0,0,0,0,2,149,1,146,2,0,0,0,0
2827820,Gloster,MS,960,333,622,1,0,1,0,3,18,942,319,618,1,0,1,0,3
2827940,Golden,MS,191,165,5,1,0,0,14,6,21,170,163,5,1,0,0,0,1
2828220,Goodman,MS,1386,331,1039,2,2,0,1,11,16,1370,328,1028,2,2,0,0,10
2829180,Greenville,MS,34400,6963,26849,52,251,8,91,186,293,34107,6894,26750,45,251,5,6,156
2829340,Greenwood,MS,15205,4669,10221,22,135,2,54,102,163,15042,4623,10182,21,135,2,4,75
2829460,Grenada,MS,13092,5861,7027,24,39,2,20,119,122,12970,5799,6998,22,39,0,1,111
2829620,Gulf Hills,MS,7144,5363,995,22,456,7,97,204,270,6874,5222,983,22,452,7,10,178
2829660,Gulf Park Estates,MS,5719,4863,448,27,158,5,67,151,262,5457,4688,447,22,156,2,8,134
2829700,Gulfport,MS,67793,38544,24453,263,1149,94,1442,1848,3519,64274,37038,24266,223,1134,87,69,1457
2829900,Gunnison,MS,452,49,397,4,0,0,1,1,5,447,46,397,4,0,0,0,0
2829940,Guntown,MS,2083,1650,348,3,8,0,31,43,48,2035,1637,348,1,8,0,3,38
2830220,Hamilton,MS,457,427,18,0,1,0,4,7,5,452,426,18,0,1,0,0,7
2830980,Hatley,MS,482,479,0,1,0,1,0,1,0,482,479,0,1,0,1,0,1
2831020,Hattiesburg,MS,45989,19266,24391,112,435,28,1129,628,1996,43993,18615,24282,85,431,18,56,506
2831220,Hazlehurst,MS,4009,717,2997,15,31,2,206,41,276,3733,665,2991,14,31,1,3,28
2831420,Heidelberg,MS,718,128,578,2,0,1,0,9,12,706,127,576,1,0,0,0,2
2831460,Helena,MS,1184,1024,121,0,9,0,10,20,27,1157,1008,121,0,9,0,0,19
2831540,Henderson Point,MS,170,162,5,0,0,0,1,2,1,169,162,5,0,0,0,0,2
2831780,Hernando,MS,14090,11491,1842,29,145,3,419,161,774,13316,11171,1835,28,144,3,13,122
2831980,Hickory,MS,530,265,258,1,0,0,2,4,16,514,252,258,1,0,0,0,3
2832020,Hickory Flat,MS,601,486,99,0,0,0,4,12,9,592,484,99,0,0,0,0,9
2832110,Hide-A-Way Lake,MS,1859,1795,23,4,3,0,9,25,63,1796,1750,23,1,3,0,0,19
2832460,Hillsboro,MS,1130,409,686,1,10,0,10,14,23,1107,397,685,0,10,0,2,13
2832820,Holcomb,MS,600,351,242,1,0,0,1,5,5,595,350,239,1,0,0,0,5
2832900,Hollandale,MS,2702,330,2355,1,2,0,0,14,5,2697,330,2353,1,2,0,0,11
2833100,Holly Springs,MS,7699,1488,6100,13,14,0,44,40,96,7603,1471,6069,12,14,0,6,31
2833700,Horn Lake,MS,26066,15367,8565,94,263,13,1168,596,2093,23973,14664,8537,66,251,11,25,419
2833900,Houston,MS,3623,1848,1501,5,26,0,192,51,262,3361,1802,1489,4,23,0,4,39
2834340,Hurley,MS,1551,1483,24,10,1,0,11,22,13,1538,1482,24,10,1,0,0,21
2834740,Indianola,MS,10683,2003,8480,21,50,0,79,50,175,10508,1972,8416,21,50,0,4,45
2835020,Inverness,MS,1019,490,517,2,8,0,0,2,7,1012,485,517,2,6,0,0,2
2835220,Isola,MS,713,127,576,0,2,0,4,4,12,701,127,570,0,2,0,0,2
2835260,Itta Bena,MS,2049,207,1833,1,0,0,5,3,11,2038,206,1828,1,0,0,0,3
2835300,Iuka,MS,3028,2769,193,6,7,0,17,36,54,2974,2733,192,6,7,0,0,36
2836000,Jackson,MS,173514,31961,137716,248,676,39,1303,1571,2723,170791,31194,137265,232,660,18,99,1323
2836800,Jonestown,MS,1298,22,1271,1,0,0,0,4,4,1294,22,1268,1,0,0,0,3
2837040,Jumpertown,MS,480,450,16,0,0,0,0,14,5,475,446,16,0,0,0,0,13
2837190,Kearney Park,MS,1054,155,890,1,0,0,5,3,6,1048,155,889,1,0,0,0,3
2837560,Kilmichael,MS,699,260,429,4,5,0,0,1,1,698,259,429,4,5,0,0,1
2837600,Kiln,MS,2238,2075,77,13,5,0,15,53,83,2155,2027,68,11,5,0,1,43
2838320,Kosciusko,MS,7402,3372,3845,22,37,3,67,56,157,7245,3317,3829,18,37,3,1,40
2838360,Kossuth,MS,209,209,0,0,0,0,0,0,0,209,209,0,0,0,0,0,0
2838600,Lake,MS,324,152,163,0,2,0,3,4,4,320,152,163,0,2,0,0,3
2839080,Lambert,MS,1638,180,1454,2,0,0,0,2,7,1631,180,1447,2,0,0,0,2
2839520,Latimer,MS,6079,5368,268,28,191,3,86,135,213,5866,5267,266,24,189,3,6,111
2839600,Lauderdale,MS,442,210,227,0,0,0,0,5,1,441,209,227,0,0,0,0,5
2839640,Laurel,MS,18540,6011,11372,20,128,8,810,191,1424,17116,5517,11330,9,128,3,6,123
2839840,Leakesville,MS,898,703,180,0,1,0,3,11,21,877,694,177,0,1,0,0,5
2839880,Learned,MS,94,86,5,0,1,0,0,2,0,94,86,5,0,1,0,0,2
2840280,Leland,MS,4481,1216,3187,8,20,0,21,29,35,4446,1212,3179,3,20,0,5,27
2840360,Lena,MS,148,129,17,2,0,0,0,0,0,148,129,17,2,0,0,0,0
2840600,Lexington,MS,1731,468,1242,2,9,0,1,9,17,1714,466,1228,2,9,0,0,9
2840640,Liberty,MS,728,499,222,0,0,0,5,2,7,721,497,222,0,0,0,0,2
2841680,Long Beach,MS,14792,12642,1224,71,382,14,158,301,541,14251,12358,1207,62,377,11,6,230
2842200,Louin,MS,277,192,80,0,0,0,0,5,4,273,188,80,0,0,0,0,5
2842240,Louise,MS,199,113,85,0,0,0,0,1,1,198,113,84,0,0,0,0,1
2842280,Louisville,MS,6631,2420,4085,21,28,1,14,62,53,6578,2410,4078,18,28,1,0,43
2842440,Lucedale,MS,2923,2007,866,3,16,0,17,14,51,2872,1974,863,3,16,0,2,14
2842600,Lula,MS,298,56,232,0,6,0,2,2,3,295,55,232,0,6,0,0,2
2842640,Lumberton,MS,2086,884,1178,3,0,0,2,19,11,2075,879,1172,3,0,0,2,19
2842800,Lyman,MS,1277,1064,148,4,10,1,12,38,43,1234,1043,143,4,10,1,1,32
2842840,Lynchburg,MS,2437,1864,483,5,23,0,21,41,49,2388,1846,482,4,23,0,0,33
2842960,Lyon,MS,350,281,66,0,0,0,3,0,3,347,281,66,0,0,0,0,0
2842980,Maben,MS,871,326,531,5,1,0,0,8,10,861,322,526,5,1,0,0,7
2843280,McComb,MS,12790,3993,8479,22,116,7,68,105,180,12610,3941,8437,22,116,0,2,92
2843400,McCool,MS,135,114,19,0,0,0,2,0,1,134,114,19,0,0,0,1,0
2843840,McLain,MS,441,322,115,2,0,0,0,2,3,438,319,115,2,0,0,0,2
2844240,Macon,MS,2768,602,2132,3,13,0,11,7,13,2755,600,2131,3,13,0,1,7
2844520,Madison,MS,24149,20645,2471,25,771,3,52,182,279,23870,20427,2467,19,769,3,18,167
2844600,Magee,MS,4408,2085,2063,20,53,31,127,29,201,4207,2036,2049,8,53,30,6,25
2844680,Magnolia,MS,2420,774,1608,12,7,0,4,15,28,2392,758,1606,12,6,0,0,10
2844920,Mantachie,MS,1144,1105,25,2,2,0,3,7,5,1139,1105,25,2,2,0,0,5
2844960,Mantee,MS,232,230,1,0,0,0,0,1,0,232,230,1,0,0,0,0,1
2845120,Marietta,MS,256,251,1,0,0,0,1,3,0,256,251,1,0,0,0,1,3
2845160,Marion,MS,1479,713,717,5,20,0,6,18,45,1434,677,715,5,20,0,0,17
2845240,Marks,MS,1735,551,1164,6,3,0,1,10,8,1727,549,1159,6,3,0,0,10
2845720,Mathiston,MS,698,589,98,0,4,0,1,6,1,697,589,98,0,4,0,0,6
2846000,Mayersville,MS,547,57,488,0,0,0,0,2,4,543,54,488,0,0,0,0,1
2846200,Meadville,MS,449,357,88,3,0,0,0,1,3,446,354,88,3,0,0,0,1
2846600,Mendenhall,MS,2504,1649,810,3,8,0,3,31,19,2485,1638,809,3,8,0,0,27
2846640,Meridian,MS,41148,14696,25327,115,390,10,243,367,719,40429,14415,25208,88,386,5,20,307
2846680,Meridian Station,MS,1090,663,286,5,48,4,38,46,150,940,580,274,4,44,3,1,34
2846720,Merigold,MS,439,185,221,0,11,0,0,22,17,422,182,221,0,11,0,0,8
2846880,Metcalfe,MS,1067,36,1016,0,0,1,7,7,11,1056,36,1013,0,0,1,0,6
2848030,Mississippi State,MS,4005,2746,1049,9,108,2,27,64,80,3925,2700,1042,9,108,1,7,58
2848120,Mississippi Valley State University,MS,1182,49,1086,1,19,0,8,19,11,1171,47,1081,1,18,0,5,19
2848240,Mize,MS,340,326,6,1,0,0,6,1,11,329,321,6,1,0,0,0,1
2848560,Monticello,MS,1571,911,501,0,11,0,131,17,142,1429,907,501,0,11,0,2,8
2848640,Montrose,MS,140,118,21,1,0,0,0,0,0,140,118,21,1,0,0,0,0
2848720,Mooresville,MS,650,607,16,2,1,0,20,4,23,627,605,16,1,1,0,0,4
2848760,Moorhead,MS,2405,398,1985,8,5,0,3,6,16,2389,393,1977,8,5,0,0,6
2848800,Morgan City,MS,255,48,207,0,0,0,0,0,4,251,48,203,0,0,0,0,0
2848880,Morgantown,MS,1412,524,830,10,8,0,25,15,35,1377,520,828,10,8,0,1,10
2849080,Morton,MS,3462,1541,1244,11,5,2,583,76,890,2572,1276,1236,9,5,1,2,43
2849240,Moss Point,MS,13704,3280,10080,28,60,4,105,147,254,13450,3172,10048,28,60,4,16,122
